date,Domestic Aviation,Ground Transport,Industry,Power,Residential,德国
2019-01-01,0.0,0.2,0.15,0.37,0.55,1.28
2019-01-02,0.0,0.36,0.23,0.57,0.69,1.85
2019-01-03,0.01,0.38,0.37,0.92,0.78,2.46
2019-01-04,0.0,0.38,0.33,0.83,0.72,2.27
2019-01-05,0.0,0.35,0.27,0.68,0.6,1.91
2019-01-06,0.0,0.21,0.33,0.83,0.62,2.0
2019-01-07,0.01,0.42,0.36,0.91,0.62,2.32
2019-01-08,0.01,0.43,0.22,0.56,0.6,1.82
2019-01-09,0.01,0.43,0.28,0.71,0.71,2.15
2019-01-10,0.0,0.43,0.42,1.04,0.77,2.67
2019-01-11,0.01,0.43,0.38,0.95,0.72,2.49
2019-01-12,0.0,0.35,0.25,0.62,0.62,1.85
2019-01-13,0.0,0.29,0.16,0.39,0.54,1.39
2019-01-14,0.01,0.44,0.24,0.59,0.65,1.92
2019-01-15,0.0,0.44,0.28,0.71,0.64,2.07
2019-01-16,0.01,0.44,0.3,0.74,0.61,2.09
2019-01-17,0.01,0.44,0.31,0.77,0.63,2.16
2019-01-18,0.01,0.44,0.42,1.04,0.8,2.7
2019-01-19,0.0,0.38,0.4,1.0,0.88,2.66
2019-01-20,0.0,0.27,0.4,0.99,0.93,2.6
2019-01-21,0.01,0.43,0.45,1.14,0.93,2.96
2019-01-22,0.01,0.44,0.45,1.12,0.92,2.94
2019-01-23,0.01,0.44,0.46,1.15,0.94,3.0
2019-01-24,0.01,0.44,0.46,1.15,0.95,3.01
2019-01-25,0.01,0.44,0.44,1.1,0.89,2.87
2019-01-26,0.0,0.4,0.32,0.8,0.67,2.19
2019-01-27,0.0,0.28,0.25,0.63,0.61,1.77
2019-01-28,0.01,0.44,0.37,0.92,0.7,2.43
2019-01-29,0.01,0.44,0.42,1.04,0.76,2.67
2019-01-30,0.01,0.43,0.41,1.02,0.8,2.66
2019-01-31,0.01,0.44,0.44,1.09,0.81,2.78
2019-02-01,0.01,0.43,0.47,1.01,0.76,2.67
2019-02-02,0.0,0.38,0.43,0.94,0.74,2.49
2019-02-03,0.0,0.29,0.39,0.84,0.75,2.27
2019-02-04,0.01,0.43,0.41,0.89,0.77,2.5
2019-02-05,0.01,0.43,0.46,1.01,0.75,2.66
2019-02-06,0.01,0.43,0.46,1.01,0.73,2.64
2019-02-07,0.01,0.44,0.36,0.78,0.67,2.25
2019-02-08,0.01,0.43,0.29,0.62,0.57,1.92
2019-02-09,0.0,0.38,0.17,0.37,0.51,1.44
2019-02-10,0.0,0.26,0.18,0.38,0.53,1.36
2019-02-11,0.01,0.43,0.28,0.6,0.64,1.95
2019-02-12,0.01,0.43,0.43,0.92,0.68,2.46
2019-02-13,0.01,0.43,0.43,0.92,0.64,2.43
2019-02-14,0.01,0.44,0.45,0.98,0.62,2.5
2019-02-15,0.01,0.44,0.43,0.93,0.57,2.37
2019-02-16,0.0,0.37,0.33,0.71,0.54,1.95
2019-02-17,0.0,0.26,0.34,0.73,0.54,1.88
2019-02-18,0.01,0.42,0.4,0.86,0.53,2.22
2019-02-19,0.01,0.43,0.37,0.8,0.55,2.16
2019-02-20,0.01,0.44,0.41,0.88,0.56,2.29
2019-02-21,0.01,0.43,0.41,0.9,0.5,2.25
2019-02-22,0.01,0.42,0.43,0.94,0.52,2.32
2019-02-23,0.0,0.36,0.35,0.76,0.67,2.14
2019-02-24,0.0,0.25,0.35,0.76,0.62,1.98
2019-02-25,0.01,0.42,0.41,0.89,0.54,2.26
2019-02-26,0.01,0.43,0.41,0.9,0.5,2.25
2019-02-27,0.01,0.43,0.39,0.85,0.47,2.15
2019-02-28,0.01,0.43,0.35,0.75,0.45,2.0
2019-03-01,0.01,0.44,0.49,0.86,0.52,2.33
2019-03-02,0.0,0.37,0.41,0.71,0.54,2.03
2019-03-03,0.0,0.25,0.21,0.37,0.41,1.24
2019-03-04,0.01,0.41,0.25,0.44,0.44,1.55
2019-03-05,0.01,0.43,0.32,0.56,0.56,1.88
2019-03-06,0.01,0.43,0.35,0.61,0.47,1.87
2019-03-07,0.01,0.44,0.29,0.51,0.42,1.68
2019-03-08,0.01,0.43,0.3,0.52,0.51,1.76
2019-03-09,0.0,0.38,0.22,0.38,0.47,1.45
2019-03-10,0.0,0.29,0.24,0.41,0.51,1.45
2019-03-11,0.01,0.44,0.31,0.54,0.65,1.94
2019-03-12,0.01,0.44,0.32,0.55,0.57,1.89
2019-03-13,0.01,0.45,0.26,0.46,0.56,1.73
2019-03-14,0.01,0.45,0.28,0.49,0.56,1.79
2019-03-15,0.01,0.45,0.27,0.47,0.47,1.67
2019-03-16,0.0,0.39,0.21,0.36,0.44,1.4
2019-03-17,0.0,0.28,0.19,0.34,0.48,1.3
2019-03-18,0.01,0.44,0.32,0.55,0.61,1.92
2019-03-19,0.01,0.44,0.49,0.85,0.63,2.42
2019-03-20,0.01,0.44,0.47,0.82,0.55,2.3
2019-03-21,0.01,0.45,0.47,0.83,0.45,2.2
2019-03-22,0.01,0.44,0.48,0.84,0.39,2.16
2019-03-23,0.0,0.39,0.39,0.67,0.44,1.89
2019-03-24,0.0,0.3,0.34,0.59,0.5,1.73
2019-03-25,0.01,0.44,0.34,0.6,0.58,1.98
2019-03-26,0.01,0.44,0.42,0.73,0.57,2.17
2019-03-27,0.01,0.44,0.46,0.8,0.52,2.24
2019-03-28,0.01,0.45,0.47,0.82,0.45,2.2
2019-03-29,0.01,0.45,0.42,0.74,0.39,2.01
2019-03-30,0.0,0.41,0.33,0.58,0.36,1.68
2019-03-31,0.0,0.33,0.29,0.5,0.43,1.56
2019-04-01,0.01,0.45,0.35,0.66,0.48,1.94
2019-04-02,0.01,0.45,0.37,0.68,0.38,1.88
2019-04-03,0.01,0.45,0.45,0.85,0.42,2.17
2019-04-04,0.01,0.45,0.47,0.88,0.52,2.33
2019-04-05,0.01,0.45,0.46,0.86,0.51,2.28
2019-04-06,0.0,0.4,0.36,0.68,0.36,1.8
2019-04-07,0.01,0.32,0.34,0.63,0.31,1.6
2019-04-08,0.01,0.44,0.44,0.81,0.35,2.04
2019-04-09,0.01,0.45,0.43,0.8,0.43,2.12
2019-04-10,0.01,0.45,0.43,0.8,0.52,2.2
2019-04-11,0.01,0.45,0.44,0.83,0.58,2.31
2019-04-12,0.01,0.43,0.45,0.83,0.64,2.35
2019-04-13,0.0,0.4,0.38,0.71,0.66,2.16
2019-04-14,0.0,0.31,0.35,0.65,0.61,1.92
2019-04-15,0.01,0.42,0.37,0.68,0.45,1.93
2019-04-16,0.01,0.45,0.36,0.67,0.39,1.88
2019-04-17,0.01,0.45,0.38,0.7,0.32,1.85
2019-04-18,0.01,0.45,0.3,0.56,0.24,1.56
2019-04-19,0.01,0.34,0.24,0.45,0.19,1.23
2019-04-20,0.0,0.38,0.24,0.45,0.2,1.28
2019-04-21,0.0,0.29,0.22,0.4,0.21,1.12
2019-04-22,0.01,0.32,0.17,0.32,0.19,1.0
2019-04-23,0.01,0.44,0.2,0.37,0.2,1.21
2019-04-24,0.01,0.44,0.24,0.45,0.14,1.28
2019-04-25,0.01,0.44,0.28,0.53,0.19,1.45
2019-04-26,0.01,0.44,0.32,0.6,0.34,1.7
2019-04-27,0.0,0.4,0.27,0.49,0.41,1.57
2019-04-28,0.0,0.3,0.3,0.55,0.47,1.62
2019-04-29,0.01,0.43,0.37,0.69,0.45,1.95
2019-04-30,0.01,0.45,0.37,0.68,0.36,1.87
2019-05-01,0.01,0.33,0.25,0.45,0.35,1.39
2019-05-02,0.01,0.45,0.31,0.55,0.36,1.67
2019-05-03,0.01,0.44,0.34,0.61,0.45,1.86
2019-05-04,0.0,0.41,0.3,0.54,0.58,1.83
2019-05-05,0.0,0.33,0.28,0.5,0.57,1.68
2019-05-06,0.01,0.43,0.39,0.7,0.53,2.06
2019-05-07,0.01,0.45,0.45,0.8,0.48,2.18
2019-05-08,0.01,0.45,0.41,0.73,0.4,1.99
2019-05-09,0.01,0.45,0.4,0.72,0.34,1.91
2019-05-10,0.01,0.45,0.43,0.76,0.34,1.99
2019-05-11,0.0,0.41,0.33,0.59,0.4,1.73
2019-05-12,0.0,0.35,0.23,0.41,0.44,1.44
2019-05-13,0.01,0.43,0.34,0.61,0.42,1.8
2019-05-14,0.01,0.45,0.36,0.64,0.43,1.89
2019-05-15,0.01,0.45,0.38,0.69,0.43,1.96
2019-05-16,0.01,0.45,0.4,0.72,0.42,2.0
2019-05-17,0.01,0.45,0.39,0.7,0.31,1.86
2019-05-18,0.0,0.4,0.34,0.62,0.2,1.56
2019-05-19,0.0,0.33,0.32,0.57,0.16,1.38
2019-05-20,0.01,0.43,0.41,0.73,0.21,1.78
2019-05-21,0.01,0.45,0.38,0.68,0.26,1.78
2019-05-22,0.01,0.45,0.37,0.67,0.3,1.79
2019-05-23,0.01,0.45,0.37,0.66,0.23,1.72
2019-05-24,0.01,0.45,0.34,0.61,0.16,1.55
2019-05-25,0.0,0.39,0.28,0.51,0.24,1.42
2019-05-26,0.01,0.32,0.21,0.38,0.17,1.1
2019-05-27,0.01,0.43,0.31,0.55,0.18,1.47
2019-05-28,0.01,0.45,0.35,0.63,0.29,1.73
2019-05-29,0.01,0.46,0.34,0.6,0.32,1.72
2019-05-30,0.01,0.34,0.22,0.39,0.2,1.16
2019-05-31,0.01,0.43,0.27,0.48,0.1,1.28
2019-06-01,0.0,0.38,0.26,0.42,0.08,1.15
2019-06-02,0.01,0.34,0.23,0.37,0.07,1.02
2019-06-03,0.01,0.43,0.37,0.59,0.07,1.48
2019-06-04,0.01,0.45,0.41,0.65,0.08,1.58
2019-06-05,0.01,0.45,0.38,0.6,0.07,1.5
2019-06-06,0.01,0.45,0.35,0.56,0.17,1.54
2019-06-07,0.01,0.43,0.33,0.53,0.14,1.43
2019-06-08,0.0,0.38,0.19,0.3,0.17,1.05
2019-06-09,0.0,0.34,0.22,0.35,0.13,1.04
2019-06-10,0.01,0.43,0.26,0.41,0.1,1.2
2019-06-11,0.01,0.45,0.41,0.65,0.12,1.63
2019-06-12,0.01,0.45,0.45,0.72,0.15,1.78
2019-06-13,0.01,0.45,0.39,0.61,0.11,1.57
2019-06-14,0.01,0.43,0.41,0.66,0.07,1.58
2019-06-15,0.0,0.38,0.28,0.45,0.08,1.2
2019-06-16,0.0,0.34,0.29,0.47,0.11,1.21
2019-06-17,0.01,0.43,0.45,0.71,0.07,1.66
2019-06-18,0.01,0.45,0.46,0.73,0.07,1.72
2019-06-19,0.01,0.45,0.45,0.72,0.07,1.7
2019-06-20,0.01,0.45,0.4,0.63,0.08,1.57
2019-06-21,0.01,0.43,0.39,0.62,0.1,1.54
2019-06-22,0.0,0.38,0.3,0.48,0.09,1.26
2019-06-23,0.01,0.34,0.25,0.39,0.07,1.06
2019-06-24,0.01,0.43,0.34,0.54,0.07,1.39
2019-06-25,0.01,0.45,0.41,0.66,0.07,1.6
2019-06-26,0.01,0.45,0.4,0.63,0.07,1.55
2019-06-27,0.01,0.45,0.35,0.56,0.09,1.46
2019-06-28,0.01,0.43,0.39,0.61,0.08,1.52
2019-06-29,0.0,0.38,0.3,0.47,0.07,1.23
2019-06-30,0.01,0.34,0.23,0.36,0.07,1.0
2019-07-01,0.01,0.43,0.28,0.53,0.07,1.32
2019-07-02,0.01,0.45,0.29,0.54,0.1,1.38
2019-07-03,0.01,0.45,0.3,0.57,0.14,1.47
2019-07-04,0.01,0.45,0.3,0.56,0.11,1.43
2019-07-05,0.01,0.43,0.3,0.56,0.08,1.38
2019-07-06,0.0,0.38,0.22,0.42,0.09,1.12
2019-07-07,0.0,0.34,0.19,0.36,0.16,1.07
2019-07-08,0.01,0.43,0.3,0.57,0.21,1.52
2019-07-09,0.01,0.45,0.32,0.59,0.21,1.57
2019-07-10,0.01,0.45,0.37,0.69,0.16,1.66
2019-07-11,0.01,0.45,0.41,0.77,0.13,1.76
2019-07-12,0.01,0.43,0.4,0.74,0.11,1.68
2019-07-13,0.0,0.38,0.27,0.51,0.13,1.3
2019-07-14,0.0,0.34,0.26,0.49,0.17,1.26
2019-07-15,0.01,0.43,0.35,0.66,0.17,1.62
2019-07-16,0.01,0.45,0.37,0.7,0.15,1.68
2019-07-17,0.01,0.45,0.39,0.73,0.11,1.68
2019-07-18,0.01,0.45,0.39,0.73,0.07,1.66
2019-07-19,0.01,0.43,0.4,0.76,0.07,1.66
2019-07-20,0.0,0.38,0.29,0.55,0.07,1.29
2019-07-21,0.0,0.34,0.26,0.48,0.07,1.15
2019-07-22,0.01,0.43,0.37,0.69,0.07,1.57
2019-07-23,0.01,0.45,0.42,0.79,0.07,1.74
2019-07-24,0.01,0.45,0.43,0.8,0.07,1.75
2019-07-25,0.01,0.45,0.43,0.81,0.07,1.78
2019-07-26,0.01,0.43,0.37,0.7,0.07,1.58
2019-07-27,0.0,0.38,0.25,0.47,0.07,1.18
2019-07-28,0.0,0.34,0.25,0.46,0.07,1.13
2019-07-29,0.01,0.43,0.36,0.68,0.07,1.56
2019-07-30,0.01,0.45,0.38,0.72,0.07,1.62
2019-07-31,0.01,0.45,0.38,0.71,0.07,1.61
2019-08-01,0.01,0.45,0.41,0.74,0.07,1.68
2019-08-02,0.01,0.43,0.41,0.74,0.07,1.65
2019-08-03,0.0,0.38,0.33,0.59,0.08,1.38
2019-08-04,0.0,0.34,0.28,0.5,0.07,1.2
2019-08-05,0.01,0.43,0.38,0.69,0.07,1.58
2019-08-06,0.01,0.45,0.4,0.72,0.07,1.64
2019-08-07,0.01,0.45,0.4,0.72,0.08,1.65
2019-08-08,0.01,0.45,0.31,0.55,0.07,1.39
2019-08-09,0.01,0.43,0.36,0.65,0.07,1.52
2019-08-10,0.0,0.38,0.18,0.32,0.07,0.96
2019-08-11,0.0,0.34,0.19,0.35,0.07,0.97
2019-08-12,0.01,0.43,0.33,0.59,0.12,1.48
2019-08-13,0.01,0.45,0.32,0.59,0.17,1.54
2019-08-14,0.01,0.45,0.31,0.57,0.16,1.49
2019-08-15,0.01,0.45,0.26,0.48,0.13,1.33
2019-08-16,0.01,0.43,0.29,0.52,0.09,1.33
2019-08-17,0.0,0.38,0.21,0.37,0.08,1.05
2019-08-18,0.0,0.34,0.21,0.38,0.09,1.02
2019-08-19,0.01,0.43,0.29,0.53,0.09,1.35
2019-08-20,0.01,0.45,0.36,0.66,0.14,1.62
2019-08-21,0.01,0.45,0.37,0.66,0.15,1.63
2019-08-22,0.01,0.45,0.34,0.62,0.09,1.51
2019-08-23,0.01,0.43,0.36,0.64,0.07,1.51
2019-08-24,0.0,0.38,0.27,0.49,0.07,1.22
2019-08-25,0.01,0.34,0.27,0.48,0.07,1.17
2019-08-26,0.01,0.43,0.41,0.73,0.07,1.65
2019-08-27,0.01,0.45,0.45,0.81,0.07,1.78
2019-08-28,0.01,0.45,0.45,0.81,0.07,1.78
2019-08-29,0.01,0.45,0.46,0.83,0.07,1.82
2019-08-30,0.01,0.43,0.44,0.8,0.07,1.74
2019-08-31,0.0,0.38,0.3,0.53,0.07,1.29
2019-09-01,0.0,0.34,0.27,0.48,0.09,1.19
2019-09-02,0.01,0.43,0.37,0.65,0.18,1.63
2019-09-03,0.01,0.45,0.36,0.64,0.17,1.62
2019-09-04,0.01,0.45,0.34,0.6,0.11,1.51
2019-09-05,0.01,0.45,0.32,0.56,0.21,1.54
2019-09-06,0.01,0.43,0.32,0.57,0.25,1.57
2019-09-07,0.0,0.38,0.31,0.55,0.26,1.5
2019-09-08,0.0,0.34,0.33,0.57,0.29,1.53
2019-09-09,0.01,0.43,0.41,0.72,0.3,1.86
2019-09-10,0.01,0.45,0.34,0.6,0.27,1.66
2019-09-11,0.01,0.45,0.33,0.58,0.21,1.58
2019-09-12,0.01,0.45,0.36,0.63,0.1,1.55
2019-09-13,0.01,0.43,0.35,0.61,0.11,1.51
2019-09-14,0.0,0.38,0.31,0.55,0.2,1.45
2019-09-15,0.01,0.34,0.23,0.41,0.14,1.12
2019-09-16,0.01,0.43,0.4,0.7,0.19,1.73
2019-09-17,0.01,0.45,0.32,0.56,0.26,1.58
2019-09-18,0.01,0.45,0.36,0.63,0.35,1.79
2019-09-19,0.01,0.45,0.44,0.77,0.38,2.05
2019-09-20,0.01,0.43,0.43,0.76,0.36,1.98
2019-09-21,0.0,0.38,0.32,0.56,0.23,1.5
2019-09-22,0.01,0.34,0.31,0.54,0.14,1.33
2019-09-23,0.01,0.43,0.42,0.75,0.2,1.8
2019-09-24,0.01,0.45,0.45,0.8,0.21,1.92
2019-09-25,0.01,0.45,0.46,0.81,0.21,1.93
2019-09-26,0.01,0.45,0.43,0.76,0.18,1.83
2019-09-27,0.01,0.43,0.37,0.64,0.18,1.62
2019-09-28,0.0,0.38,0.18,0.32,0.21,1.1
2019-09-29,0.0,0.34,0.16,0.29,0.19,0.98
2019-09-30,0.01,0.43,0.24,0.42,0.22,1.32
2019-10-01,0.01,0.45,0.29,0.61,0.23,1.57
2019-10-02,0.01,0.45,0.29,0.62,0.36,1.73
2019-10-03,0.01,0.45,0.29,0.62,0.42,1.79
2019-10-04,0.01,0.43,0.32,0.66,0.41,1.82
2019-10-05,0.0,0.38,0.29,0.6,0.41,1.68
2019-10-06,0.0,0.34,0.27,0.56,0.47,1.64
2019-10-07,0.01,0.43,0.4,0.83,0.45,2.11
2019-10-08,0.01,0.45,0.33,0.7,0.32,1.81
2019-10-09,0.01,0.45,0.31,0.66,0.33,1.76
2019-10-10,0.01,0.45,0.26,0.55,0.35,1.63
2019-10-11,0.01,0.43,0.22,0.45,0.28,1.38
2019-10-12,0.0,0.38,0.2,0.41,0.19,1.19
2019-10-13,0.0,0.34,0.19,0.41,0.11,1.05
2019-10-14,0.01,0.43,0.35,0.73,0.13,1.65
2019-10-15,0.01,0.45,0.39,0.81,0.2,1.85
2019-10-16,0.01,0.45,0.36,0.75,0.29,1.85
2019-10-17,0.01,0.45,0.39,0.81,0.25,1.91
2019-10-18,0.01,0.43,0.32,0.67,0.26,1.69
2019-10-19,0.0,0.38,0.28,0.58,0.3,1.55
2019-10-20,0.0,0.34,0.3,0.64,0.28,1.56
2019-10-21,0.01,0.43,0.41,0.86,0.25,1.97
2019-10-22,0.01,0.44,0.43,0.91,0.31,2.11
2019-10-23,0.01,0.45,0.43,0.89,0.31,2.09
2019-10-24,0.01,0.45,0.38,0.8,0.25,1.89
2019-10-25,0.01,0.45,0.29,0.62,0.25,1.63
2019-10-26,0.0,0.41,0.18,0.38,0.23,1.21
2019-10-27,0.0,0.35,0.21,0.44,0.35,1.35
2019-10-28,0.01,0.45,0.41,0.86,0.51,2.24
2019-10-29,0.01,0.46,0.47,0.98,0.56,2.46
2019-10-30,0.01,0.46,0.45,0.94,0.63,2.49
2019-10-31,0.01,0.43,0.41,0.86,0.66,2.37
2019-11-01,0.0,0.38,0.23,0.56,0.58,1.75
2019-11-02,0.0,0.42,0.17,0.41,0.3,1.31
2019-11-03,0.0,0.37,0.2,0.49,0.35,1.41
2019-11-04,0.01,0.46,0.31,0.74,0.39,1.9
2019-11-05,0.01,0.46,0.36,0.87,0.45,2.15
2019-11-06,0.01,0.46,0.39,0.93,0.49,2.28
2019-11-07,0.0,0.46,0.37,0.89,0.51,2.23
2019-11-08,0.0,0.45,0.39,0.93,0.57,2.35
2019-11-09,0.0,0.41,0.35,0.83,0.6,2.19
2019-11-10,0.0,0.34,0.33,0.8,0.69,2.17
2019-11-11,0.01,0.45,0.34,0.83,0.68,2.31
2019-11-12,0.01,0.45,0.34,0.81,0.61,2.21
2019-11-13,0.01,0.45,0.38,0.92,0.63,2.39
2019-11-14,0.01,0.45,0.39,0.95,0.62,2.43
2019-11-15,0.01,0.45,0.34,0.81,0.61,2.21
2019-11-16,0.0,0.41,0.33,0.79,0.62,2.15
2019-11-17,0.0,0.34,0.32,0.77,0.64,2.08
2019-11-18,0.01,0.46,0.38,0.91,0.59,2.33
2019-11-19,0.01,0.46,0.38,0.92,0.61,2.38
2019-11-20,0.01,0.44,0.45,1.08,0.68,2.66
2019-11-21,0.01,0.45,0.44,1.05,0.63,2.57
2019-11-22,0.01,0.45,0.4,0.95,0.59,2.4
2019-11-23,0.0,0.4,0.23,0.55,0.55,1.74
2019-11-24,0.0,0.32,0.27,0.65,0.59,1.84
2019-11-25,0.01,0.45,0.42,1.0,0.61,2.48
2019-11-26,0.01,0.45,0.42,1.0,0.51,2.39
2019-11-27,0.01,0.46,0.34,0.81,0.45,2.06
2019-11-28,0.01,0.46,0.26,0.62,0.42,1.76
2019-11-29,0.01,0.46,0.3,0.71,0.58,2.05
2019-11-30,0.0,0.41,0.34,0.81,0.71,2.27
2019-12-01,0.0,0.33,0.43,0.83,0.76,2.34
2019-12-02,0.01,0.45,0.49,0.94,0.7,2.59
2019-12-03,0.01,0.45,0.52,1.0,0.66,2.65
2019-12-04,0.01,0.45,0.5,0.97,0.72,2.65
2019-12-05,0.01,0.46,0.47,0.9,0.79,2.62
